subscription_id,user_id,full_name,gender,birth_date,age_years,state,city,region,monthly_income,signup_date,plan_id,start_date,end_date,status,is_active,is_churned,total_revenue,num_payments,first_payment_date,last_payment_date,duration_days,duration_months,ltv,mrr
S0001,1,Luiz Silva,F,1982-12-05,42.072553045859,BA,Salvador,Nordeste,9672.64,2020-10-09,4,2023-06-06,2024-12-31,active,true,false,799.8,2,2023-06-06,2024-06-05,574,19.133333333333333,799.8,41.801393728223
S0002,2,Sabrina Gomes,F,2016-12-28,8.008213552361397,SP,São Paulo,Sudeste,10554.16,2021-02-24,4,2023-11-22,2024-12-31,active,true,false,799.8,2,2023-11-22,2024-11-21,405,13.5,799.8,59.24444444444444
S0003,3,João Souza,F,2007-03-23,17.776865160848732,SP,São Paulo,Sudeste,4014.7,2021-08-30,4,2024-09-24,2024-12-31,active,true,false,399.9,1,2024-09-24,2024-09-24,98,3.2666666666666666,399.9,122.41836734693877
S0004,4,Paula Rocha,F,1978-09-18,46.286105407255306,GO,Goiânia,Centro-Oeste,2570.85,2020-06-28,2,2022-04-05,2023-05-15,cancelled,false,true,698.5999999999998,14,2022-04-05,2023-04-30,405,13.5,698.5999999999998,51.74814814814813
S0005,5,Igor Carvalho,F,2000-04-27,24.67898699520876,CE,Fortaleza,Nordeste,1506.76,2020-10-19,3,2022-01-24,2024-12-31,active,true,false,1558.8000000000004,12,2022-01-24,2024-10-10,1072,35.733333333333334,1558.8000000000004,43.62313432835822
S0006,6,Paula Carvalho,M,1968-03-03,56.82956878850103,PA,Belém,Norte,4041.86,2021-03-22,1,2024-08-14,2024-12-31,active,true,false,149.5,5,2024-08-14,2024-12-12,139,4.633333333333334,149.5,32.26618705035971
S0007,7,Paula Costa,M,2003-03-09,21.815195071868583,GO,Goiânia,Centro-Oeste,2740.67,2021-06-15,1,2024-02-27,2024-03-12,cancelled,false,true,29.9,1,2024-02-27,2024-02-27,14,0.4666666666666667,29.9,64.07142857142857
S0008,8,Ana Araújo,M,2007-05-31,17.587953456536617,MG,Belo Horizonte,Sudeste,7170.69,2021-07-08,2,2022-03-10,2022-06-13,cancelled,false,true,199.6,4,2022-03-10,2022-06-08,95,3.1666666666666665,199.6,63.03157894736842
S0009,9,Thiago Martins,F,2015-01-12,9.96851471594798,GO,Goiânia,Centro-Oeste,3123.99,2020-03-08,3,2022-09-17,2022-12-24,cancelled,false,true,259.8,2,2022-09-17,2022-12-16,98,3.2666666666666666,259.8,79.53061224489797
S0010,10,Felipe Santos,M,1969-04-13,55.71800136892539,AM,Manaus,Norte,5489.76,2021-02-22,1,2022-07-29,2022-09-10,cancelled,false,true,59.8,2,2022-07-29,2022-08-28,43,1.4333333333333333,59.8,41.72093023255814
