user_id,full_name,cpf,gender,birth_date,state,city,region,signup_date,monthly_income
1,Luiz Silva,01038596711,F,1982-12-05,BA,Salvador,Nordeste,2020-10-09,9672.64
2,Sabrina Gomes,62607055697,F,2016-12-28,SP,São Paulo,Sudeste,2021-02-24,10554.16
3,João Souza,74108280161,F,2007-03-23,SP,São Paulo,Sudeste,2021-08-30,4014.7
4,Paula Rocha,70937761797,F,1978-09-18,GO,Goiânia,Centro-Oeste,2020-06-28,2570.85
5,Igor Carvalho,05607892887,F,2000-04-27,CE,Fortaleza,Nordeste,2020-10-19,1506.76
6,Paula Carvalho,88702184585,M,1968-03-03,PA,Belém,Norte,2021-03-22,4041.86
7,Paula Costa,32677278005,M,2003-03-09,GO,Goiânia,Centro-Oeste,2021-06-15,2740.67
8,Ana Araújo,07486668943,M,2007-05-31,MG,Belo Horizonte,Sudeste,2021-07-08,7170.69
9,Thiago Martins,15876198719,F,2015-01-12,GO,Goiânia,Centro-Oeste,2020-03-08,3123.99
10,Felipe Santos,37292770113,M,1969-04-13,AM,Manaus,Norte,2021-02-22,5489.76
11,Eduarda Araújo,24142101274,F,1989-01-04,GO,Goiânia,Centro-Oeste,2021-07-13,2066.99
12,Otávio Lima,65963609358,M,1985-06-22,MG,Belo Horizonte,Sudeste,2020-10-10,1617.83
13,Luiz Rocha,46748905143,F,1969-10-28,BA,Salvador,Nordeste,2020-02-10,1600.4
14,Paula Santos,60540735700,M,2015-12-03,PA,Belém,Norte,2021-05-01,4477.07
15,Gabriel Martins,62420622824,M,2012-09-29,DF,Brasília,Centro-Oeste,2021-03-24,2037.01
16,Karina Souza,37631288356,M,1990-08-25,PR,Curitiba,Sul,2020-04-01,7542.1
17,Otávio Silva,59651902488,F,2010-01-29,ES,Vitória,Sudeste,2021-02-03,6840.0
18,Luiz Martins,15171076467,M,2022-07-02,GO,Goiânia,Centro-Oeste,2020-05-27,8798.08
19,Eduarda Almeida,90175571049,M,2009-02-05,RS,Porto Alegre,Sul,2020-06-27,7895.85
20,Ana Santos,60624481310,M,2010-07-07,PA,Belém,Norte,2020-10-27,11739.83
21,Vitória Martins,45389422291,M,2015-07-24,PR,Curitiba,Sul,2021-12-18,3004.52
22,Karina Rocha,71915213610,F,1996-08-25,PA,Belém,Norte,2021-02-09,1962.72
23,Igor Ferreira,98737608140,F,1996-12-02,SC,Florianópolis,Sul,2021-10-26,2877.46
24,Otávio Almeida,79151300438,M,2013-06-16,BA,Salvador,Nordeste,2021-09-20,6912.93
25,Sabrina Santos,62841826565,M,2004-10-17,PE,Recife,Nordeste,2020-05-12,9526.1
26,Karina Pereira,77582144222,M,1980-09-24,DF,Brasília,Centro-Oeste,2021-03-13,1757.28
27,Otávio Costa,52880079960,F,1972-03-20,RJ,Rio de Janeiro,Sudeste,2020-03-04,2916.6
28,Igor Silva,99964963260,M,2017-04-08,GO,Goiânia,Centro-Oeste,2020-04-10,7042.79
29,Thiago Ribeiro,82925937088,M,1987-06-01,PA,Belém,Norte,2021-08-06,11311.14
30,Otávio Almeida,56063280464,F,1999-04-20,CE,Fortaleza,Nordeste,2021-08-15,2778.94
31,João Oliveira,62575014102,F,1981-09-25,MG,Belo Horizonte,Sudeste,2020-10-26,6328.04
32,Vitória Lima,92689646212,F,1975-10-02,GO,Goiânia,Centro-Oeste,2021-12-31,11001.77
33,Eduarda Ferreira,43804953914,F,2002-07-09,AM,Manaus,Norte,2020-07-06,2370.12
